freebitco.in,Jason Ross
it.toolbox.com/blogs/securitymonkey/the-worlds-worst-penetration-test-report-by-scumbagpentester-58747,Thomas Richards
bit.ly/MgsSkG,AntiTree
thenextweb.com/socialmedia/2014/01/29/lost-50000-twitter-username/,Thomas Richards
www.androidpolice.com/2014/01/13/new-app-rootcloak-plus-switches-to-cydia-substrate-to-keep-even-more-apps-from-detecting-root/,Thomas Richards
googleblog.blogspot.com/2014/01/lenovo-to-acquire-motorola-mobility.html,AntiTree
bit.ly/LqrP1v,AntiTree
www.dailymail.co.uk/news/article-2548638/How-police-soon-able-turn-cars-remotely-flick-switch-secret-new-EU-plans.html,Thomas Richards
yahoo.tumblr.com/post/75083532312/important-security-update-for-yahoo-mail-users,Thomas Richards
natashenka.ca/posters/,Thomas Richards
is.gd/REyLAv/,Jason Ross
is.gd/Cwnmwk,Jason Ross
www.thejollablog.com/jolla-now-ready-conquer-world-release-sailfish-os-1-0/,Thomas Richards
is.gd/X8PKsR/,Jason Ross
is.gd/dKRP6y/,Jason Ross
www.securelist.com/en/blog/8184/The,Jason Ross
is.gd/5CVXqy/,Jason Ross
www.extremetech.com/computing/181733-microsoft-patches-ie-bug-in-windows-xp-but-its-a-huge-mistake,Thomas Richards
is.gd/PdHSRK,Jason Ross
www.theregister.co.uk/2014/08/20/sick,Thomas Richards
www.bbc.com/news/technology-28886462,Thomas Richards
github.com/Rich5/Keyboard-Walk-Generators,AntiTree
www.eff.org/deeplinks/2014/08/cell-phone-guide-protesters-updated-2014-edition,Jason Ross
monica-at-mozilla.blogspot.com/2014/08/firefox-32-supports-public-key-pinning.html,AntiTree
www.welivesecurity.com/2014/08/28/android-security-2/,Jason Ross
www.deepdotweb.com/2014/09/13/comcast-declares-war-tor/,Thomas Richards
www.wikileaks.org/spyfiles4/,Thomas Richards
www.darkreading.com/vulnerabilities---threats/new-cve-naming-convention-could-break-vulnerability-management-/d/d-id/1315788,Thomas Richards
www.theverge.com/2014/10/2/6896095/this-published-hack-could-be-the-beginning-of-the-end-for-usb,Thomas Richards
news.drweb.com/show/,Thomas Richards
